20130101	cold day
20130102	cold day
20130103	cold day
20130104	cold day
20130105	hot day
20130106	cold day
20130108	cold day
20130109	cold day
20130110	cold day
20130111	cold day
20130112	cold day
20130113	cold day
20130114	cold day
20130115	cold day
20130116	cold day
20130117	cold day
20130118	cold day
20130119	cold day
20130120	cold day
20130121	cold day
20130122	cold day
20130123	cold day
20130124	cold day
20130125	cold day
20130126	cold day
20130127	cold day
20130128	cold day
20130129	cold day
20130130	cold day
20130131	cold day
20130201	cold day
20130202	cold day
20130203	cold day
20130204	cold day
20130205	cold day
20130206	cold day
20130207	cold day
20130208	cold day
20130209	cold day
20130210	cold day
20130211	cold day
20130212	cold day
20130213	cold day
20130214	cold day
20130215	cold day
20130216	cold day
20130217	cold day
20130218	cold day
20130219	cold day
20130220	cold day
20130221	cold day
20130222	cold day
20130223	cold day
20130224	cold day
20130225	cold day
20130226	cold day
20130227	cold day
20130228	cold day
20130301	cold day
20130302	cold day
20130303	cold day
20130304	cold day
20130305	cold day
20130306	cold day
20130307	cold day
20130308	cold day
20130309	cold day
20130310	cold day
20130311	cold day
20130312	cold day
20130313	cold day
20130314	cold day
20130315	cold day
20130316	cold day
20130317	cold day
20130318	cold day
20130319	cold day
20130320	cold day
20130321	cold day
20130322	cold day
20130323	cold day
20130324	cold day
20130325	cold day
20130326	cold day
20130327	cold day
20130328	cold day
20130329	cold day
20130330	cold day
20130331	cold day
20130401	cold day
20130402	cold day
20130403	cold day
20130404	cold day
20130405	cold day
20130406	cold day
20130408	cold day
20130409	cold day
20130410	cold day
20130411	cold day
20130412	cold day
20130413	cold day
20130414	cold day
20130415	cold day
20130416	cold day
20130417	cold day
20130418	cold day
20130419	cold day
20130420	cold day
20130421	cold day
20130422	cold day
20130423	cold day
20130424	cold day
20130425	cold day
20130426	cold day
20130427	cold day
20130428	cold day
20130429	cold day
20130430	cold day
20130501	cold day
20130502	cold day
20130503	cold day
20130505	cold day
20130506	cold day
20130511	cold day
20130513	cold day
20130518	cold day
20130519	cold day
20130531	cold day
20130601	cold day
20130605	cold day
